user_id   song_id   count     
46        1004      9         
90        1247      4         
78        310       16        
9         1006      20        
95        891       13        
94        120       2         
21        1029      8         
28        517       18        
9         76        7         
36        235       20        
17        50        1         
30        329       10        
53        744       18        
39        1161      6         
7         783       19        
82        853       6         
28        27        13        
91        1079      5         
60        48        16        
87        232       4         
59        546       5         
50        886       5         
34        50        13        
50        1224      14        
82        834       5         
83        158       3         
69        770       18        
83        652       4         
55        1280      8         
22        605       17        
43        599       12        
19        1217      20        
74        1181      1         
60        338       2         
85        706       11        
69        997       10        
56        293       20        
85        634       7         
80        606       13        
72        150       16        
30        1102      6         
25        174       19        
34        1219      11        
53        504       20        
40        67        20        
30        1271      3         
95        798       20        
52        453       20        
46        412       19        
31        898       1         
92        132       2         
16        274       17        
78        1259      7         
44        129       16        
87        767       4         
100       501       14        
23        257       20        
69        1230      6         
17        135       15        
65        53        2         
34        1145      6         
11        1229      9         
80        32        4         
99        839       10        
79        489       8         
43        650       3         
72        487       3         
30        1089      18        
26        8         8         
91        51        8         
16        1134      17        
10        424       20        
82        344       17        
24        213       17        
10        124       9         
5         354       13        
14        48        14        
53        381       2         
58        834       20        
43        520       11        
17        1040      2         
35        83        16        
64        752       15        
89        1089      14        
79        85        10        
32        1264      12        
12        117       5         
54        919       13        
40        451       6         
73        227       9         
94        688       13        
40        977       20        
36        636       19        
84        951       11        
80        1122      20        
31        1273      10        
80        557       9         
51        649       8         
61        151       5         
26        516       11        
36        748       2         
20        738       11        
64        977       10        
6         661       4         
4         520       18        
20        994       6         
50        861       13        
13        235       1         
54        215       10        
1         494       15        
36        602       15        
97        1017      17        
10        754       5         
4         4         17        
72        376       9         
97        303       11        
25        1004      8         
30        566       2         
27        274       13        
16        128       10        
59        852       5         
39        924       11        
48        988       10        
20        545       9         
50        232       15        
51        341       5         
7         319       15        
7         1268      2         
45        1259      7         
92        1178      6         
55        1125      19        
37        136       4         
16        367       7         
9         5         9         
46        85        19        
71        947       19        
68        632       13        
67        173       4         
1         966       14        
81        1196      1         
60        608       9         
62        208       14        
26        800       1         
30        2         3         
3         656       1         
94        812       3         
96        369       20        
57        370       9         
20        818       20        
69        1107      7         
70        668       14        
79        314       10        
94        501       8         
9         322       12        
42        166       11        
14        555       19        
57        1098      4         
94        2         18        
56        295       6         
98        195       2         
26        1256      6         
70        69        1         
34        1128      16        
84        717       20        
43        862       6         
17        77        1         
79        878       2         
18        782       19        
57        1248      12        
70        221       20        
66        524       19        
63        186       18        
30        907       15        
41        67        13        
20        1070      8         
80        295       11        
49        181       3         
37        881       10        
65        378       5         
22        17        7         
8         133       11        
37        659       17        
19        1279      18        
70        659       4         
12        822       1         
28        38        7         
84        1045      2         
13        96        8         
92        157       3         
93        245       10        
29        917       16        
12        1072      2         
67        867       17        
90        630       20        
1         1038      9         
52        220       20        
20        261       12        
20        856       10        
59        1178      16        
61        911       13        
95        457       16        
95        240       3         
50        167       16        
100       1163      5         
26        496       20        
14        794       12        
20        674       6         
20        211       3         
22        722       16        
58        1188      2         
64        949       20        
63        879       18        
22        966       4         
47        1036      20        
65        551       12        
59        432       17        
72        109       4         
66        413       12        
94        937       18        
61        336       5         
53        156       11        
70        1235      7         
77        808       18        
24        502       20        
38        352       4         
68        1173      5         
89        901       7         
67        387       15        
26        424       7         
43        1137      11        
90        571       17        
90        617       16        
68        1174      20        
2         1244      5         
94        322       20        
55        915       13        
50        930       11        
64        300       3         
50        762       9         
52        129       9         
92        831       8         
15        28        5         
3         683       11        
20        299       11        
63        977       1         
42        579       18        
33        952       6         
3         692       10        
69        126       13        
12        86        3         
47        344       4         
91        1126      9         
46        633       4         
18        10        6         
22        712       17        
78        499       6         
27        1099      19        
59        928       9         
11        545       9         
32        686       17        
16        778       9         
50        942       13        
45        1046      5         
85        933       19        
14        1024      14        
17        679       11        
48        333       17        
99        290       14        
60        784       17        
55        697       1         
14        965       15        
35        404       9         
32        790       18        
14        713       19        
5         4         4         
53        805       18        
21        263       6         
66        377       13        
77        766       18        
78        1185      16        
89        162       10        
91        6         11        
25        404       5         
13        654       13        
59        620       10        
11        283       3         
24        784       18        
25        1277      14        
89        1274      18        
99        329       12        
15        658       2         
65        507       18        
82        655       3         
86        1112      11        
30        1085      17        
23        651       9         
85        981       5         
55        910       20        
45        109       9         
11        843       5         
98        649       3         
74        1266      1         
15        844       17        
48        584       14        
76        7         4         
74        1198      6         
78        1052      1         
23        122       4         
67        672       11        
52        466       15        
51        905       17        
51        1041      15        
11        893       16        
8         488       20        
46        274       10        
100       1095      19        
45        131       11        
65        120       12        
19        1211      5         
72        96        3         
44        757       2         
8         54        11        
12        1226      13        
91        721       8         
21        227       6         
9         221       18        
25        811       14        
1         576       8         
55        366       3         
37        114       14        
55        146       18        
52        981       13        
86        202       11        
31        16        8         
48        1030      6         
99        932       5         
59        1238      1         
45        808       11        
46        622       7         
30        403       16        
33        1132      1         
40        572       17        
52        554       8         
25        249       15        
78        1000      18        
62        1127      14        
47        432       10        
18        1080      7         
28        136       14        
88        729       4         
66        1029      13        
89        613       20        
85        822       15        
19        328       13        
37        1277      14        
74        1075      19        
47        367       8         
2         8         15        
78        1103      8         
21        463       15        
38        1271      3         
12        1126      4         
63        203       3         
67        541       20        
14        119       19        
21        1257      15        
21        1080      6         
62        303       7         
72        1184      9         
72        1281      1         
50        998       13        
57        291       15        
46        895       7         
56        976       4         
34        141       9         
80        427       5         
64        897       9         
85        259       17        
94        1231      19        
43        1245      12        
10        593       11        
87        977       20        
49        351       19        
6         1272      18        
45        161       18        
64        106       15        
15        337       1         
15        410       15        
51        8         5         
55        323       2         
37        1050      9         
40        1168      5         
61        362       7         
75        1155      12        
95        1154      2         
75        103       1         
59        1247      20        
88        1094      5         
41        62        6         
3         617       7         
53        428       6         
71        911       12        
66        891       9         
80        727       16        
87        552       17        
84        608       4         
23        992       12        
82        977       7         
49        449       11        
47        876       19        
86        1098      15        
59        927       14        
93        211       14        
88        1271      11        
60        520       1         
94        572       1         
60        723       17        
40        151       8         
59        359       1         
100       606       20        
28        613       6         
64        1054      18        
45        403       13        
58        1016      15        
16        119       19        
100       793       20        
23        844       9         
35        856       13        
32        545       17        
10        273       7         
39        1129      17        
98        394       18        
17        1228      4         
4         283       11        
52        1002      18        
66        788       2         
94        619       16        
45        716       1         
38        1095      9         
91        619       7         
82        213       17        
27        405       10        
93        147       4         
60        1126      6         
76        502       19        
1         961       11        
65        462       8         
65        1183      11        
87        152       20        
32        1079      11        
72        653       3         
24        885       17        
76        1212      2         
98        331       17        
31        818       18        
71        221       11        
64        410       4         
31        1034      20        
12        748       14        
35        1175      6         
33        1212      20        
56        6         14        
90        503       7         
61        96        7         
30        751       7         
4         538       17        
91        531       15        
62        1207      12        
48        250       11        
54        383       11        
8         936       3         
31        767       14        
54        224       13        
69        272       6         
54        626       16        
4         252       1         
24        399       17        
20        787       8         
12        1047      16        
56        1234      3         
68        442       12        
5         594       13        
54        75        9         
94        238       11        
10        664       13        
19        61        19        
66        404       18        
88        163       2         
53        235       9         
12        94        20        
21        662       2         
51        1062      4         
41        415       14        
91        743       3         
96        119       6         
10        346       14        
31        1267      5         
55        626       7         
6         1037      3         
22        13        15        
38        166       10        
61        86        13        
98        704       13        
13        324       14        
33        824       16        
15        620       1         
92        1078      4         
15        841       18        
97        633       2         
62        1274      4         
34        317       10        
82        446       18        
57        559       4         
51        929       19        
61        759       5         
70        504       14        
75        376       15        
99        507       1         
75        851       8         
44        807       6         
89        709       11        
9         965       14        
4         591       9         
27        1045      2         
34        209       12        
37        1001      18        
2         875       9         
67        142       16        
27        1147      13        
14        572       4         
99        1087      16        
63        940       6         
13        993       3         
12        88        10        
47        184       7         
86        1015      18        
61        548       16        
92        656       3         
44        879       9         
83        922       16        
39        1180      8         
96        386       5         
51        735       3         
44        783       11        
99        667       14        
20        803       18        
46        476       3         
95        782       11        
14        850       12        
10        324       2         
3         301       15        
42        252       11        
77        1227      16        
83        819       16        
62        98        10        
35        398       10        
35        249       12        
20        1112      7         
21        737       6         
63        257       17        
70        617       3         
20        1136      20        
100       1044      1         
28        1247      17        
73        428       4         
7         915       5         
38        1220      5         
94        860       14        
31        769       10        
18        1262      2         
76        129       18        
76        1089      6         
24        478       17        
57        142       6         
93        1105      2         
78        266       11        
29        1229      7         
17        1015      9         
94        1118      15        
27        230       10        
8         988       6         
78        972       12        
90        799       7         
99        615       14        
20        945       14        
56        991       19        
64        962       11        
48        600       17        
54        1261      6         
22        490       6         
45        1077      16        
79        159       11        
76        654       19        
81        1084      13        
84        1041      18        
6         505       11        
22        498       8         
40        374       2         
2         397       9         
37        913       9         
26        906       12        
46        1272      9         
51        395       8         
13        609       5         
51        219       20        
12        1142      7         
22        344       5         
89        855       9         
81        12        18        
43        1256      3         
33        104       16        
56        1100      5         
71        1276      10        
85        57        2         
28        1159      4         
58        1248      3         
79        1035      4         
53        378       2         
13        1179      11        
6         852       3         
8         56        5         
90        100       8         
38        1072      6         
54        346       6         
5         186       2         
76        989       18        
55        833       2         
29        326       9         
41        639       11        
82        46        1         
73        1110      12        
48        634       9         
57        1201      1         
9         274       2         
5         970       14        
6         1240      6         
41        256       11        
32        397       7         
68        1155      18        
22        456       16        
47        381       8         
80        920       20        
72        318       4         
66        465       5         
46        718       16        
97        1114      9         
37        177       10        
37        122       6         
25        417       11        
90        647       18        
80        805       5         
38        1068      16        
21        749       4         
44        663       19        
71        1147      7         
95        326       1         
36        611       3         
36        815       4         
79        326       19        
30        787       3         
82        626       20        
60        288       7         
37        659       19        
64        217       9         
16        306       5         
31        1220      9         
32        1041      1         
74        261       2         
45        537       11        
4         163       13        
60        8         8         
92        848       10        
25        561       14        
8         831       1         
36        173       3         
4         876       15        
84        1087      11        
28        1142      11        
93        911       17        
43        450       16        
33        1126      14        
97        530       15        
20        722       9         
8         1020      11        
51        1162      1         
5         47        11        
22        536       7         
94        718       10        
37        650       10        
5         616       15        
14        1066      16        
21        1008      20        
35        1044      15        
68        722       15        
4         340       13        
53        890       5         
69        587       16        
21        1217      5         
5         511       15        
17        363       6         
39        726       15        
36        210       11        
27        810       16        
43        889       7         
66        1255      12        
25        1155      14        
56        761       14        
67        926       20        
11        336       14        
9         494       9         
73        76        19        
74        673       12        
25        604       13        
67        759       10        
21        196       11        
6         388       9         
61        514       17        
46        228       1         
48        87        10        
69        381       15        
47        833       6         
98        189       9         
83        21        16        
76        234       9         
41        1067      17        
20        629       16        
2         651       12        
9         1112      14        
96        17        14        
18        277       11        
88        933       18        
29        1127      5         
62        597       15        
19        209       20        
10        300       17        
46        824       16        
58        191       12        
1         572       10        
44        855       18        
1         434       7         
19        804       5         
11        1174      12        
89        403       10        
1         870       17        
49        881       1         
27        659       14        
10        26        4         
43        955       3         
41        970       18        
52        12        2         
91        411       6         
76        1255      14        
11        839       15        
69        1067      4         
61        144       17        
78        1071      20        
27        239       1         
28        823       1         
32        617       14        
35        1219      6         
29        719       13        
27        852       3         
3         892       13        
58        301       11        
89        306       19        
31        969       3         
34        176       12        
13        297       15        
3         147       5         
44        1212      5         
48        947       7         
25        84        18        
18        422       1         
20        247       11        
95        1094      12        
25        225       4         
76        600       14        
53        37        13        
46        336       2         
8         565       17        
85        1233      6         
42        37        19        
47        799       10        
70        427       19        
38        486       7         
99        253       9         
90        490       15        
63        476       15        
83        746       3         
56        373       13        
21        708       14        
60        959       18        
77        1118      15        
47        668       11        
32        914       8         
1         925       16        
86        469       20        
30        909       15        
75        1183      17        
28        1166      10        
34        1278      10        
32        580       9         
24        982       16        
52        206       9         
54        49        20        
7         599       17        
50        11        12        
89        993       3         
13        443       2         
30        1141      19        
46        283       5         
99        952       5         
64        266       9         
39        901       12        
87        1134      20        
14        175       18        
73        1126      2         
24        877       8         
88        880       1         
97        975       8         
73        609       2         
8         996       3         
98        843       1         
4         887       12        
25        685       4         
69        471       4         
28        1204      16        
78        701       16        
17        587       16        
86        1000      1         
79        839       5         
36        1038      7         
65        1110      2         
6         361       14        
4         776       2         
69        585       1         
8         960       10        
52        341       3         
47        424       13        
100       379       16        
97        1194      12        
76        934       13        
29        421       4         
57        932       15        
92        412       19        
64        448       4         
89        377       4         
54        1032      12        
74        435       9         
42        1212      7         
85        558       9         
53        1232      1         
13        269       10        
13        1208      7         
3         209       2         
60        1122      20        
67        655       3         
29        369       16        
93        352       8         
62        810       19        
90        18        6         
31        746       12        
35        242       8         
62        408       13        
50        934       11        
96        353       16        
45        555       18        
24        367       17        
92        806       4         
56        1012      11        
12        326       7         
58        902       3         
45        761       16        
5         661       9         
40        1025      5         
58        821       3         
14        29        19        
33        606       5         
50        1264      18        
100       90        9         
91        217       20        
24        293       6         
33        967       14        
19        572       15        
6         791       7         
94        1156      5         
78        3         17        
43        228       20        
80        958       16        
49        748       6         
27        1240      14        
45        513       17        
22        1213      9         
50        345       15        
71        1131      9         
33        718       9         
3         1170      4         
82        415       15        
14        981       18        
53        572       16        
18        660       20        
90        300       6         
96        1168      18        
64        1102      17        
60        118       9         
69        1261      16        
37        44        2         
32        152       8         
49        964       10        
7         585       15        
66        206       9         
56        598       19        
79        921       6         
71        326       5         
35        197       20        
57        217       15        
85        19        16        
24        11        3         
4         1087      14        
16        843       9         
35        775       18        
21        868       3         
73        1118      7         
19        76        10        
12        298       5         
84        1139      7         
89        248       20        
31        549       5         
46        985       3         
7         844       4         
92        133       7         
8         87        9         
89        1250      8         
16        966       18        
88        933       20        
43        604       11        
9         519       13        
81        1194      8         
67        176       12        
92        198       19        
10        1175      20        
82        587       6         
25        821       5         
78        1200      13        
32        75        7         
62        148       9         
91        374       18        
65        574       3         
16        73        13        
91        530       17        
15        128       20        
93        1044      19        
39        1186      11        
75        618       1         
86        774       11        
62        378       11        
16        919       5         
52        319       2         
44        1250      4         
75        892       10        
81        136       5         
18        123       14        
54        379       14        
79        345       7         
76        524       9         
35        1099      7         
94        514       11        
10        989       20        
80        551       9         
34        258       18        
85        713       12        
78        202       5         
1         985       1         
30        701       14        
11        1212      1         
63        630       10        
33        772       13        
16        1175      9         
46        130       7         
57        838       6         
66        812       16        
81        622       14        
77        806       18        
17        330       6         
43        990       7         
75        551       8         
48        469       13        
95        657       3         
66        248       20        
27        192       1         
72        796       4         
20        1251      1         
69        30        8         
92        730       14        
35        239       2         
47        1048      8         
78        1         5         
23        367       18        
38        673       13        
67        1056      2         
100       1152      17        
24        571       19        
84        110       6         
99        791       10        
3         738       15        
38        685       10        
66        505       8         
22        1013      17        
91        634       3         
86        177       12        
52        157       11        
49        597       16        
39        145       11        
94        674       9         
99        97        1         
89        1281      4         
52        361       19        
17        839       19        
68        444       14        
7         424       18        
13        1241      8         
65        677       10        
40        832       9         
56        633       18        
47        956       20        
86        1231      7         
39        917       17        
6         895       2         
92        961       13        
11        666       8         
79        382       16        
54        879       13        
60        1055      11        
26        475       20        
45        724       12        
11        581       2         
86        799       8         
25        603       1         
18        239       4         
99        135       1         
82        784       17        
33        669       18        
10        259       10        
90        791       9         
30        1111      20        
66        100       12        
77        779       16        
44        691       12        
79        431       4         
86        800       17        
